,Unnamed: 0,dwarf name,constellation,distance,mass,radius,discovery,gravity
0,0,SDSS J000013.54+255418.6 [de],Pegasus,46.1,9.113642553599999e+28,70777296.90899992,2004.0,1214.2000569364636
1,1,2MASS 0036+1821,Pisces,28.6,7.974437234399999e+28,67202685.95399994,2000.0,1178.4549471797186
2,2,2MASS J02431371−2453298,Fornax,35.0,6.265629255599999e+28,70777296.90899992,2002.0,834.7625391438187
3,3,Teegarden's star,Aries,12.578,1.5189404256e+29,90795118.25699992,2003.0,1229.7078510792437
4,4,DEN 0255-4700,Eridanus,16.2,1.5189404256e+29,69347452.52699994,2006.0,2107.977248385283
5,5,2MASS J03185403-3421292 [de],Fornax,45.0,9.3035101068e+28,69347452.52699994,2008.0,1291.136064635986
6,6,2MASS J03264225-2102057 [de],Eridanus,80.0,3.4176159576e+28,92939884.82999994,2003.0,264.06157007472495
7,7,2MASS J03284265+2302051 [de],Taurus,98.0,1.02528478728e+29,70062374.71799994,2000.0,1393.9943359838155
8,8,Teide 1,Taurus,380.0,1.0442715426e+29,270240588.1979999,1995.0,95.4329811379459
9,9,2MASS J03552337+1133437,Taurus,29.8,3.797351064e+28,94369729.212,2006.0,284.5781383444831
10,10,2MASS J04151954−0935066,Eridanus,18.6,5.696026596e+28,67917608.14499994,2002.0,824.1256757641465
11,11,2MASS J04285096-2253227 [de],Eridanus,85.0,1.5189404256e+29,77926518.81899999,2003.0,1669.384557701969
12,12,2MASS J04390101-2353083 [de],Eridanus,29.5,9.113642553599999e+28,69347452.52699994,2003.0,1264.7863490311697
13,13,2MASS J04455387-3048204 [de],Caelum,42.0,1.21515234048e+29,71492219.1,2003.0,1586.7166344045677
14,14,2MASS J04510093-3402150 [de],Caelum,69.0,1.97462255328e+27,5147439775.2,2003.0,0.004973793462398577
15,15,2MASS J05002100+0330501 [de],Orion,44.0,1.21515234048e+29,71492219.1,2008.0,1586.7166344045677
16,16,2MASS J05012406-0010452 [de],Orion,64.0,3.987218617199999e+28,98659262.35799992,2008.0,273.3886765721484
17,17,2MASS J05160945-0445499 [de],Orion,73.0,8.9237750004e+28,69347452.52699994,2003.0,1238.4366334263539
18,18,LSR 0602+3910 [de],Auriga,34.6,5.3162914895999995e+28,100804028.93099992,2003.0,349.171836201398
19,19,2MASS J06244595-4521548 [de],Puppis,39.0,1.0632582979199999e+29,70777296.90899992,2008.0,1416.566733092541
20,20,2MASS J06411840-4322329 [de],Puppis,65.0,1.27211260644e+29,72207141.291,2008.0,1628.363862996061
21,21,DENIS-P J0652197-253450 [de],Canis Major,51.0,1.4240066489999998e+29,75066830.055,2008.0,1686.5610484742424
22,22,UGPS J072227.51-054031.2,Monoceros,13.4,4.9365563831999995e+28,70062374.71799994,2010.0,671.1824580662815
23,23,2MASSI J0727182+171001 [de],Gemini,29.6,7.784569681199999e+28,67202685.95399994,2002.0,1150.396496056392
